rust:event_dispatching,erlang:port_receive,port:message_queue_len,erlang:msg_byte_size,erlang:binary_to_term,chalk_pipeline:flush/0,erlang:term_to_binary,erlang:msg_byte_size,erlang:port_command
0.030327,0.104467,0,76,0.005731,0.001012,0.19624,804,0.011441
0.033864,0.108555,0,76,0.005741,0.001112,0.22273,804,0.012934
0.022162,0.135175,0,76,0.005901,0.001122,0.216669,804,0.012403
0.024837,0.105789,0,76,0.006011,0.001123,0.214083,804,0.012574
0.023394,0.082886,0,76,0.00509,0.000962,0.200077,804,0.011712
0.02655,0.108274,0,76,0.012213,0.002665,0.284016,804,0.016581
0.02643,0.123813,0,76,0.012514,0.002615,0.306067,804,0.016952
0.017213,0.09034,0,76,0.006062,0.001001,0.20642,804,0.020929
0.027833,0.098646,0,76,0.006502,0.001062,0.204135,804,0.012083
0.021591,0.100399,0,76,0.005871,0.001142,0.232669,804,0.012854
0.030127,0.103395,0,76,0.00542,0.000982,0.202963,804,0.023975
0.027953,0.0903,0,76,0.006603,0.001292,0.239001,804,0.013204
0.021791,0.217299,0,76,0.005931,0.001133,0.216458,804,0.026409
0.012053,0.088546,0,76,0.005721,0.001122,0.213854,804,0.013535
0.011763,0.089829,0,76,0.005771,0.001202,0.218803,804,0.014026
0.016911,0.101361,0,76,0.005882,0.001232,0.294916,804,0.013035
0.012504,0.518457,0,85,0.009668,0.001253,0.202632,804,0.012022
0.011762,0.096281,0,146,0.006022,0.001132,0.230024,804,0.015218
0.00519,0.42454,0,732,0.006422,0.000922,0.191161,804,0.006452
0.011302,0.10617,0,222,0.007865,0.001733,0.230464,804,0.015259
0.0052,0.426414,0,331,0.004688,0.000942,0.19076,804,0.006412
0.012153,0.097975,0,152,0.006753,0.001362,0.219764,804,0.013947
0.00557,0.423398,0,802,0.004228,0.000992,0.19082,804,0.006472
0.024235,0.097133,0,152,0.005942,0.001262,0.205457,804,0.011742
0.005931,0.476739,0,802,0.003908,0.000901,0.186512,804,0.005921
0.011251,0.057929,0,76,0.005079,0.000982,0.201721,804,0.012313
0.005681,0.383754,0,878,0.003706,0.000842,0.204456,804,0.006572
0.009578,0.388082,0,972,0.00554,0.001012,0.19081,804,0.006452
0.009899,0.312879,0,85,0.004208,0.000912,0.187724,804,0.006552
0.012002,0.089349,0,152,0.005961,0.001192,0.230475,804,0.012453
0.00537,0.441573,0,1094,0.003727,0.000851,0.19616,804,0.006703
0.004789,0.335843,0,261,0.003587,0.000811,0.171954,804,0.005931
0.011332,0.077335,0,152,0.00515,0.001122,0.197823,804,0.011432
0.00534,0.342205,0,802,0.003397,0.000761,0.172355,804,0.005971
0.011792,0.082986,0,76,0.006933,0.001683,0.210718,804,0.012623
0.006382,0.402359,0,562,0.003406,0.000812,0.173667,804,0.005931
0.011341,0.081434,0,152,0.005681,0.001242,0.21748,804,0.012193
0.00555,0.412769,0,401,0.004268,0.000951,0.192353,804,0.006462
0.011351,0.086884,0,152,0.005821,0.001152,0.221768,804,0.012534
0.005451,0.398902,0,802,0.004238,0.000961,0.191752,804,0.006332
0.011802,0.059252,0,76,0.004879,0.001002,0.205016,804,0.012133
0.005631,0.380307,0,477,0.003817,0.000831,0.190259,804,0.006402
0.013355,0.067698,0,76,0.00541,0.001052,0.21725,804,0.012884
0.007354,0.431643,0,477,0.003948,0.000891,0.202843,804,0.006682
0.012493,0.082536,0,152,0.005991,0.001152,0.224644,804,0.012574
